@@@@@@@@@@@@@@@@@@@@, @@@@
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@, @@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@, @@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@, @@@@@
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@, @@@@@
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@, @@@@@@@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@, @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@, @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
ABILITIES@ACTIVE_ABILITY_TOUCH@RELOAD_NAME, リロード
ABILITYREQ@BASE@NAME, 基本
ABILITYREQ@DEBUFF@NAME, デバフ
ABILITYREQ@MAGIC@NAME, 魔法
ABILITYREQ@MOVEMENT@NAME, 移動
ABILITYREQ@NOREFRESH@NAME, 更新することができません
ABILITYREQ@RANGED@NAME, 物理範囲
ABILITYREQ@SUMMONING@NAME, 召喚中
ABILITYREQ@SUPPORT@NAME, サポート
ACHIEVEMENTS@ACHIEVEMENT000, ビンガー家きってのハムマニア
ACHIEVEMENTS@ACHIEVEMENT001, 不思議な谷
ACHIEVEMENTS@ACHIEVEMENT002, 魅惑の群島
ACHIEVEMENTS@ACHIEVEMENT003, 深紅色のカルデラ
ACHIEVEMENTS@ACHIEVEMENT004, 不朽の宮廷
ACHIEVEMENTS@ACHIEVEMENT005, グレキソリス
ACHIEVEMENTS@ACHIEVEMENT006, 一人は皆のために、皆は一人のために
ACHIEVEMENTS@ACHIEVEMENT007, 回帰円
ACHIEVEMENTS@ACHIEVEMENT008, 最も卑劣な者の裏切り
ACHIEVEMENTS@ACHIEVEMENT009, すべてを敵に回しても
ACHIEVEMENTS@ACHIEVEMENT010, 脱出！
ACHIEVEMENTS@ACHIEVEMENT011, 唯一の存在！
ACHIEVEMENTS@ACHIEVEMENT012, 必要なものはすべてここに
ACHIEVEMENTS@ACHIEVEMENT013, 力を与える魔法！
ACHIEVEMENTS@ACHIEVEMENT014, 最上位
ACHIEVEMENTS@ACHIEVEMENT015, 魔法使いの王の帰還
ACHIEVEMENTS@ACHIEVEMENT016, 神の帝王
ACHIEVEMENTS@ACHIEVEMENT017, 混沌の玉
ACHIEVEMENTS@ACHIEVEMENT018, 大魔術師
ACHIEVEMENTS@ACHIEVEMENT019, 創造者
